ShapeSize,#input,#output,#op,RealNdpxCost
307200,1,1,1,14114
307200,1,1,1,14111
184320,1,1,1,8592
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
6144,1,1,1,571
3072,1,1,1,449
1024,1,1,1,340
24192,3,1,3,3209
819200,7,3,14,131933
49152,19,12,53,31092
110592,19,12,53,70806
73728,7,3,14,11571
110592,15,9,40,53132
165888,15,9,40,79647
110592,11,6,27,35468
184320,7,3,14,29634
307200,15,9,40,148378
276480,15,9,40,133211
307200,11,6,27,98891
614400,7,3,14,98591
3072,7,3,14,802
27648,7,3,14,4297
6144,7,3,14,1137
6912,11,6,27,2172
41472,11,6,27,13131
9216,7,3,14,1551
9216,7,3,14,1551
12288,15,9,40,5362
55296,15,9,40,26330
12288,11,6,27,3653
24576,7,3,14,3809
49152,15,9,40,23218
1728,7,3,14,640
9216,7,3,14,1551
1024,7,3,14,595
32,1,1,1,335
32,1,1,1,335
2580480,1,1,1,117583
32,2,1,1,364
250880,2,1,1,11588
250880,2,1,1,11591
602112,2,1,1,27378
602112,2,1,1,32146
401408,2,1,1,18353
401408,2,1,1,18353
401408,2,1,1,18353
802816,2,1,1,36389
802816,2,1,1,36392
3211264,2,1,1,151041
32,3,1,8,388
32,4,1,9,419
32256,2,1,4,3971
32256,6,4,8,9876
2580480,10,3,15,417785
2016,11,3,18,864
32,29,8,42,947
12845056,14,1,37,3728221
12845056,7,2,23,3994462
12845056,14,1,37,2326867
12845056,7,2,23,3798354
6422528,12,1,21,686335
6422528,5,2,7,1620246
768,84,23,122,2721
128,85,22,129,2886
384,64,19,94,2512
64,38,11,54,1358
384,85,22,129,3229
64,85,22,129,3181
288,85,22,129,3148
64,55,16,82,1962
9633792,14,1,37,1412913
9633792,7,2,23,2710470
