ShapeSize,#input,#output,#op,RealNdpxCost
32,2,1,1,342
262144,1,1,2,12089
524288,3,2,11,77103
262144,1,1,0,12087
524288,1,1,0,23863
32,1,1,1,335
16384,2,1,1,2296
32,2,1,1,339
32,2,2,4,354
15104,3,1,6,2186
1449984,5,1,6,218611
1449984,3,1,4,187413
1449984,2,1,2,178515
1449984,2,1,2,179241
1449984,2,1,2,191463
32,1,1,1,335
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,370
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
256,2,1,2,345
98304,5,1,7,14435
98304,8,1,10,9907
98304,8,1,10,9107
98304,5,1,7,14675
98304,8,1,10,10621
98304,5,1,7,14932
98304,5,1,7,14307
98304,8,1,10,9069
12288,2,1,2,1682
512,2,1,1,368
98304,8,1,10,10287
98304,5,1,7,14707
98304,8,1,10,10145
98304,5,1,7,14894
32,4,2,4,378
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,381
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
512,2,1,1,368
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1860
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1865
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1830
